"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
"1",3.88351721426903e-06,0.00218365069298561,4.12045740485919e-06,3.74005762741593e-06,0.00210549037056746,4.70476574278425e-06,3.93337601677883e-06,3.26616307765948e-06,5.47044857061874e-06,3.80636925513565e-06,4.31258517631942e-06,4.2340500211228e-06,4.99352325610359e-06,4.5841395429352e-06,3.72324990971294e-06,3.59294021848482e-06,4.16244356855551e-06,0.00210549037056746,5.31956268218664e-06,3.66570834184436e-06,4.15803012918801e-06,3.74792143044208e-06,3.85880567533601e-06,4.01608817170976e-06,3.41164633073036e-06,3.67601689786926e-06,3.80686192721745e-06,4.11267911838585e-06,3.9510773392455e-06,0.00210549037056746,4.63251548350493e-06,6.81146555030459e-06,7.01201918074157e-06,4.37610963676033e-06,4.29369785662926e-06,4.97620361092695e-06,4.65930164496485e-06,5.77552796908205e-06,7.58626056929732e-06,4.5360638216323e-06,4.49997501567727e-06,3.95293592780986e-06,3.70425844760277e-06,5.98898040912058e-06,2.90831478675334e-06,3.61946953601217e-06,0.00196483411247411,3.04785406812077e-06,6.27052371886498e-06,4.565992198368e-06,8.86570364058894e-06,7.85365567514146e-06,4.12971429969085e-06,5.34566755321536e-06,3.56420355539e-06,3.99861616269923e-06,3.89534706157423e-06,3.28256685513869e-06,3.38047262253413e-06,4.11066731696275e-06,6.37448953645827e-06,8.07576808843587e-06,0.00210549037056746,3.75653792605995e-06,0.463731760927986,0.00210549037056746,3.39765523989873e-06,0.00210549037056746,3.82294349092456e-06,3.6702827756128e-06,0.00210549037056746,3.78165406229053e-06,3.70963136031594e-06,5.69776710107451e-06,5.70329143818738e-06,0.51708543508274
"2",1.21490437754865e-05,0.006831247654054,1.28902782258129e-05,1.1700250399655e-05,0.00658673395006544,1.47182056390739e-05,1.23050201085022e-05,1.02177371745812e-05,1.71135379320068e-05,1.19076971093105e-05,1.34913232520538e-05,1.32456369358215e-05,1.56215433806777e-05,1.43408433405235e-05,1.16476697911825e-05,1.1240014035909e-05,1.30216261026389e-05,0.00658673395006544,1.66415124039805e-05,1.14676589946868e-05,1.3007819271069e-05,1.17248512143122e-05,1.20717371609687e-05,1.25637735877782e-05,1.06728613088748e-05,1.14999078792671e-05,1.19092383654344e-05,1.28659449378039e-05,1.2360396235262e-05,0.00658673395006544,1.44921807460853e-05,2.13087231445283e-05,2.19361272993391e-05,1.36900506963084e-05,1.343223689784e-05,1.55673612782645e-05,1.45759775287951e-05,1.80679364224555e-05,2.37325616608572e-05,1.41904451292059e-05,1.40775463163098e-05,1.23662105712321e-05,1.15882576418841e-05,0.497726022161669,0.442264417301858,1.13230073180784e-05,0.00614671039858135,9.5347877843419e-06,1.96164618186342e-05,1.42840718956215e-05,2.77351214600651e-05,2.45690700801621e-05,1.29192371345366e-05,1.67231778642792e-05,1.11501153799644e-05,1.25091148362901e-05,1.21860518083697e-05,1.02690541122134e-05,1.05753386960925e-05,1.28596512967027e-05,1.99417044271784e-05,2.52639178903579e-05,0.00658673395006544,1.17518067231145e-05,1.32019249044749e-05,0.00658673395006544,1.06290921260433e-05,0.00658673395006544,1.195954730207e-05,1.14819694748609e-05,0.00658673395006544,1.18303790640366e-05,1.16050660524441e-05,1.78246723560643e-05,1.78419544768099e-05,1.34567932007686e-05
"3",1.66684953634317e-05,0.00937247588800405,1.76854694748767e-05,1.60527505819963e-05,0.00903700293914099,2.01933869847394e-05,1.68824949860952e-05,1.40187415459741e-05,2.34797843306105e-05,1.63373675923514e-05,1.85101036122006e-05,1.81730218386343e-05,2.14327669092662e-05,1.96756456842748e-05,1.59806099555629e-05,1.54213060142631e-05,1.78656788408425e-05,0.00903700293914099,2.28321650223976e-05,1.57336350345563e-05,1.78467358596285e-05,1.60865029144949e-05,1.65624306418399e-05,0.00442904980991689,0.913231489538167,1.5777880523587e-05,1.63394821966799e-05,1.76520841891002e-05,1.69584710652994e-05,0.00903700293914099,1.98832806956829e-05,2.92355809641485e-05,3.00963798417164e-05,1.87827577851841e-05,1.84290370986993e-05,2.13584290321835e-05,1.99982499319356e-05,2.4789219633248e-05,3.25610888656556e-05,1.94692992479344e-05,1.93144020087711e-05,1.69664483377456e-05,1.58990964510096e-05,2.57053816613246e-05,1.2482816185359e-05,1.55351728472914e-05,0.00843329036198225,1.3081734572007e-05,2.69137974077096e-05,1.95977552277408e-05,3.80526033163295e-05,3.37087789198134e-05,1.77252011150545e-05,2.29442100830211e-05,1.52979650042641e-05,1.71625130753129e-05,1.67192704067951e-05,1.40891484152549e-05,1.45093710484617e-05,1.7643449309726e-05,2.73600304621536e-05,3.46621105331137e-05,0.00903700293914099,1.6123485888776e-05,1.8113048905349e-05,0.00903700293914099,1.45831207866684e-05,0.00903700293914099,1.64085060879875e-05,1.5753269021958e-05,0.00903700293914099,1.62312871877554e-05,1.59221576004023e-05,2.44554611879197e-05,2.44791722679719e-05,1.84627283610794e-05
"4",6.0996137458081e-06,0.00342973264906345,6.471761869202e-06,5.8742901487549e-06,0.00330697079410196,7.38950086021323e-06,6.17792405585923e-06,5.12997164821182e-06,8.59211417281252e-06,5.97844195075026e-06,6.77352574228191e-06,6.65017515936022e-06,7.84303542701687e-06,7.20004033097945e-06,5.84789124789252e-06,5.643221424129e-06,6.5377070851199e-06,0.00330697079410196,8.35512651746049e-06,5.75751406685753e-06,6.53077515358798e-06,5.88664136503286e-06,6.06080077441142e-06,6.3078352083857e-06,5.35847369963971e-06,5.77370511393152e-06,5.97921576202404e-06,6.45954496878058e-06,6.20572648955e-06,0.00330697079410196,7.27602159635955e-06,1.0698371246323e-05,1.10133691241463e-05,6.8732999033637e-06,6.74386053199771e-06,7.81583247156099e-06,7.31809305623052e-06,9.07128457164387e-06,1.19152965455511e-05,7.12453060247321e-06,7.06784802203702e-06,6.20864566609268e-06,5.81806246718967e-06,9.40654185659975e-06,4.56792023097975e-06,5.68488947423115e-06,0.00308605022185683,0.300832043620161,0.0349122604038721,0.291834150802515,0.0152198291837014,0.32710708884158,6.48630113344197e-06,8.39612791422892e-06,5.59808642522187e-06,6.28039294395182e-06,6.11819419627411e-06,5.15573610374911e-06,5.30951097628087e-06,6.45638514974614e-06,1.0012038534612e-05,1.26841374255254e-05,0.00330697079410196,5.900174791618e-06,6.62822886365282e-06,0.00330697079410196,5.33649871015288e-06,0.00330697079410196,6.00447413520224e-06,5.76469886289518e-06,0.00330697079410196,5.93962324036719e-06,5.8265013874859e-06,8.94915011640262e-06,8.95782687016241e-06,6.75618940047963e-06
"5",2.35148159905637e-05,0.0132220720033266,2.49494961207367e-05,2.2646163786696e-05,0.0127488088508748,2.84875010502825e-05,2.38167125708646e-05,1.97767177351863e-05,3.31237340860233e-05,2.30476827288896e-05,0.00334761611521046,0.880500068088545,3.02359366608286e-05,2.77571057059103e-05,2.25443925398594e-05,2.17553633578186e-05,2.52037236312627e-05,0.0127488088508748,3.2210115398042e-05,2.21959765793826e-05,2.5177000120361e-05,2.26937793555072e-05,2.33651868634624e-05,2.43175372089626e-05,2.06576233001471e-05,2.22583952026767e-05,2.30506658734742e-05,2.49023983572788e-05,2.39238946219867e-05,0.0127488088508748,2.80500235116273e-05,4.12436330790473e-05,4.24579914701051e-05,2.64974782356721e-05,2.59984723762113e-05,3.01310656774185e-05,2.8212214541838e-05,3.49709992123418e-05,4.59350407120758e-05,2.74660057370734e-05,2.72474869087717e-05,2.3935148432819e-05,2.24293986535773e-05,3.6263460291644e-05,1.7609935344657e-05,2.19159991901302e-05,0.0118971308887342,1.84548499784211e-05,3.79682136780044e-05,2.76472229772727e-05,5.36821077989117e-05,4.75541262893457e-05,2.50055469032106e-05,3.23681811937702e-05,2.15813619803109e-05,2.42117436578594e-05,2.35864460792771e-05,1.98760431115633e-05,2.04688655397116e-05,2.48902168378818e-05,3.85977298961975e-05,4.88990237726496e-05,0.0127488088508748,2.27459525010757e-05,2.55526970341775e-05,0.0127488088508748,2.05729068155119e-05,0.0127488088508748,2.31480402355664e-05,2.22236749163258e-05,0.0127488088508748,2.28980314772384e-05,2.24619318050512e-05,3.4500154768613e-05,3.45336047994772e-05,2.60460017913195e-05
"6",1.18275203808115e-05,0.00665045927464026,1.25491381254019e-05,1.13906042829265e-05,0.00641241660471857,1.43286895974783e-05,1.19793688136396e-05,9.94732564236692e-06,1.6660629628071e-05,1.15925609333201e-05,1.31342765469122e-05,1.28950922978286e-05,1.52081205837369e-05,1.39613141595808e-05,1.13394152157179e-05,1.09425480348142e-05,1.26770098920071e-05,0.00641241660471857,1.62010962148933e-05,1.11641683894108e-05,1.26635684570427e-05,1.14145540391477e-05,1.17522596791729e-05,1.22312744044252e-05,1.03904049557379e-05,1.11955638100448e-05,1.15940614002338e-05,1.25254488157593e-05,0.0381003525285114,0.00641241660471857,0.675828997722541,0.0493670434987119,0.0377111055640675,0.029415428947471,0.0286106160433262,0.0235643193953156,0.0302301323684161,0.00170474106414922,2.31044814653666e-05,0.0262503623699712,1.37049852683822e-05,0.00093582647955285,1.12815754038216e-05,1.8239854220007e-05,8.85747391250209e-06,1.10233449069359e-05,0.00598403823853668,9.28245044878035e-06,1.90973138501196e-05,1.3906045166067e-05,2.70011138650348e-05,2.39188517615714e-05,1.25773306391062e-05,1.62806004058355e-05,1.08550285390381e-05,1.21780621920764e-05,1.18635489992995e-05,9.99728448167495e-06,1.02954632704837e-05,1.25193217353265e-05,1.94139489411073e-05,2.45953104844576e-05,0.00641241660471857,1.14407961727365e-05,1.28525371016179e-05,0.00641241660471857,1.03477941205514e-05,0.00641241660471857,1.16430389152045e-05,1.11781001439626e-05,0.00641241660471857,1.15172891034394e-05,1.12979389812471e-05,1.7352943940989e-05,1.73697686919011e-05,1.31006603304533e-05
"7",3.61931946332949e-05,0.0203509576967933,3.84014048616339e-05,3.48561950881638e-05,0.0196225273575412,4.38469801568008e-05,3.6657863448664e-05,3.04396425846825e-05,5.09829103165442e-05,3.54741992107391e-05,4.01919770268278e-05,3.94600533605328e-05,4.65381120109337e-05,4.27227808065391e-05,3.46995522912861e-05,3.3485105758155e-05,3.87927030871144e-05,0.0196225273575412,4.9576699908264e-05,3.41632824486496e-05,3.87515711798208e-05,3.49294833312125e-05,3.59628906359275e-05,3.74287154770663e-05,3.17955020810515e-05,3.42593550431591e-05,3.54787907641077e-05,3.83289136067455e-05,3.68228343690835e-05,0.0196225273575412,4.31736298014079e-05,6.34807790974501e-05,6.53498776955325e-05,4.07840056014057e-05,4.0015952974421e-05,4.6376698206315e-05,4.34232686472551e-05,5.38261571564503e-05,7.07016320964471e-05,4.22747297635674e-05,4.19383931115205e-05,3.68401558469969e-05,3.45225576633239e-05,5.58154687214617e-05,2.71046057798062e-05,3.3732350896976e-05,0.018311653980475,2.84050692748475e-05,5.84393664010807e-05,4.25536530963322e-05,8.26256508522632e-05,7.31936728357667e-05,3.84876762949396e-05,4.98199893353195e-05,3.3217288832642e-05,3.72658816880388e-05,3.63034451980217e-05,3.05925207820147e-05,3.15049726393273e-05,3.83101642317711e-05,5.94082960758451e-05,7.52636927072632e-05,0.0196225273575412,0.821177714996338,3.93298309259461e-05,0.0196225273575412,3.16651093865783e-05,0.0196225273575412,3.56286660274696e-05,3.42059147746013e-05,0.0196225273575412,3.52438611600267e-05,3.45726315692309e-05,5.31014496103347e-05,5.31529347454105e-05,4.0089108612658e-05
"8",2.90373110082197e-05,0.0163272983759575,3.08089282368582e-05,2.79646543388328e-05,0.0157428885573993,3.51778397150115e-05,2.94101085201387e-05,2.44213139421898e-05,4.09029000607702e-05,2.84604706958414e-05,3.22454800906027e-05,3.16582676229601e-05,3.7336898438739e-05,3.42759097665908e-05,2.7838981939471e-05,2.68646478956632e-05,3.11228615159003e-05,0.0157428885573993,3.9774716451063e-05,2.74087398908556e-05,3.10898619424571e-05,2.80234525059527e-05,2.88525412230225e-05,3.0028552686696e-05,2.55091016956173e-05,2.74858176352881e-05,2.84641544370674e-05,3.07507694825703e-05,2.95424624604877e-05,0.0157428885573993,3.46376198232572e-05,5.09297713112356e-05,5.24293238610296e-05,3.27204566164372e-05,3.21042583718113e-05,3.72073983243329e-05,3.48379016961353e-05,4.31839985821906e-05,5.67229641034416e-05,3.39164444689252e-05,3.36466061176025e-05,2.95563592481681e-05,2.76969815410261e-05,4.4779996371022e-05,2.1745658976989e-05,0.856532272136922,0.0146911925596315,2.27890032670676e-05,4.6885114025012e-05,3.41402208899624e-05,6.62894432326965e-05,5.87222947158935e-05,3.08781426420911e-05,3.99699042710384e-05,2.66497819950933e-05,2.98979133379857e-05,2.91257635465833e-05,2.45439660542039e-05,2.52760138501848e-05,3.07357271123718e-05,4.76624732108006e-05,6.03830436884792e-05,0.0157428885573993,2.80878786045774e-05,3.15537919232698e-05,0.0157428885573993,2.54044893987206e-05,0.0157428885573993,2.85843973357331e-05,2.74429432299144e-05,0.0157428885573993,2.82756735901056e-05,2.77371551591316e-05,4.2602575510263e-05,4.26438813384621e-05,3.21629501518826e-05
"9",0.0162456052687692,0.0185015217981748,0.0136545337468759,0.0105911202148823,0.0178392890914434,0.0179801802633797,0.021465073865256,0.0125947364235375,0.0225073826439331,0.0200184010976985,0.0138828772692422,0.0158532384280407,0.0299154084841368,0.0151911018460185,0.00964616004465462,0.00940133607906865,0.0093508518950914,0.0178392890914434,0.0151097625328183,0.0107907717527163,0.013492714264268,0.0117747878156872,0.0139167903106751,0.0184595091413328,0.0129208060616959,0.026199199183599,0.0169407604603218,0.0112569033070279,0.0125490788034847,0.0178392890914434,0.0112043681178872,0.0165330861342102,0.0123723483875358,0.0245215053267239,0.0115675787643509,0.0123782949062605,0.012231697831733,0.0121294752322178,0.0122101598149942,0.0057390309485998,0.00902454261654072,0.020551041872931,0.0108085962545935,0.00737105598043403,0.0128170027291954,0.0149229480498001,0.0166475440776812,0.00894575463586585,0.0127372409983732,0.00648434688008782,0.0103011315994975,0.0138573728371236,0.00582922386058674,0.0115948161759397,0.00920342459445515,0.00922374961172622,0.00979025698805749,0.00858920892933323,0.0209211352630016,0.00972990644970121,0.00883318635969868,0.00868815925238935,0.0178392890914434,0.0123515573290995,3.57556501780542e-05,0.0178392890914434,0.0122536503519368,0.0178392890914434,0.0108258369577739,0.0149744853519179,0.0178392890914434,0.0108391190369549,0.0157417229765417,4.82757441746878e-05,4.83225504902961e-05,3.64459269149462e-05
"10",9.39816211303508e-06,0.00528446304692973,9.97156045258096e-06,9.05098804902922e-06,0.00509531405122195,1.13855942216707e-05,9.5188210628724e-06,7.90415708179912e-06,1.32385566127516e-05,9.21146304962902e-06,1.04365121556312e-05,1.02464560597297e-05,1.20843911554299e-05,1.10936772508651e-05,9.01031315382277e-06,8.69496200807229e-06,0.414744985629271,0.00509531405122195,0.526005626040423,8.87106181200301e-06,1.00624869336001e-05,0.00533875153931156,0.00750873442913383,9.71898555239833e-06,8.2562284443434e-06,8.89600865151162e-06,9.21265532246775e-06,9.95273689826029e-06,9.56165849321663e-06,0.00509531405122195,1.12107476555422e-05,1.64838351260316e-05,1.6969177517274e-05,1.05902421752055e-05,1.03908045965977e-05,1.20424773890862e-05,1.127557051428e-05,1.39768527206124e-05,1.83588491381006e-05,1.09773333807142e-05,1.08899980014387e-05,9.56615630168911e-06,8.96435356877983e-06,1.44934103986714e-05,7.03815956865524e-06,8.75916330115633e-06,0.00475492407923542,7.37584644245332e-06,1.51747488660526e-05,1.10497604412429e-05,2.14551179931008e-05,1.90059487682302e-05,9.9939622583388e-06,1.29365849294853e-05,8.62541891003722e-06,9.67670306359719e-06,9.42679049720658e-06,7.94385443641604e-06,8.18078766550091e-06,9.94786831267913e-06,1.54263474953482e-05,1.95434636940785e-05,0.00509531405122195,9.09087058585913e-06,1.02126416489434e-05,0.00509531405122195,8.22236982275914e-06,0.00509531405122195,9.25157291557001e-06,8.88213200115348e-06,0.00509531405122195,9.15165196184502e-06,8.97735608735036e-06,1.3788670409768e-05,1.38020393773531e-05,1.04098006690528e-05
